team,player_id,player_name,role,fantacalcio_pid,fm_id,fm_status,face_file
ATA,0fca9629-c953-4c78-a17f-980fef723d5e,AHANOR *,D,6916,,,
ATA,4d77668f-f2b6-4d81-bd22-1e3527fc9aad,BAKKER,D,,,,
ATA,cb837765-a93b-400c-a402-62916c19940b,CASSA,C,,,,
ATA,c72492ec-ede1-4d5b-81dc-28e0762cbb00,COMI,D,,,,
ATA,96454fd1-359f-45c5-92ea-39b24c858f0a,ELMAS,C,4479,,,
ATA,60877fa3-8612-46df-9571-c1d362903f85,MANZONI,C,,,,
ATA,34674bee-227d-44a3-8d93-1fbe2da4a305,PARDEL,P,,,,
ATA,ab7fd7af-928b-437c-b8f0-7388ff592348,ROSSI,P,,,,
BOL,053b6cc4-4c98-478a-b397-ef1e1062393a,CASALE,D,5498,,,
BOL,a1eb174a-ba59-4c73-bc27-283bc92d5fe3,DE SILVESTRI,D,487,,,
BOL,7e40f5c3-b971-4869-b8b6-13be63bd3412,EL AZZOUZI,C,6225,,,
BOL,de645d30-09c1-4a0f-b6e5-b3c16b4069d7,ENEM,A,7627,,,
BOL,552ddc77-3110-4218-b817-3b123df5894e,HAPPONEN,P,7533,,,
BOL,2c2ca8d7-5179-4dba-a3dd-d2a49385f361,HELLAND,D,7326,,,
BOL,0242c572-7736-48a0-93b9-da3176773171,HOLM,D,5678,,,
BOL,27358ccd-d88d-4db7-8988-59aa1217e0c6,KARLSSON,A,,,,
BOL,86978213-946e-4493-983f-9e085a9e6039,LIBRA,C,7629,2000394909,verified,face_2000394909.png
BOL,29943cc1-c5aa-4005-a29e-7bf7360cc55d,MORO N.,C,6054,,,
BOL,70b7ad61-76d0-481a-8033-c37f9b4fa61d,PESSINA,P,,,,
BOL,f8f63ece-b20c-4feb-b3b1-5baa60effd32,PESSINA MAS.,P,7172,,,
BOL,43b0a203-577d-495a-b573-2cfed6dcd582,VITIK,D,7068,,,
CAG,2b092ea2-55c5-43c9-b6fe-cfc75fb89ee1,AKARAKIRI,C,,,,
CAG,c1ef344f-3d7d-4ec4-99ce-32f7d9ae4ce2,AURELIO,D,7548,,,
CAG,e8c1d0f9-6a6d-47e4-8412-bf0f20f34910,BORRELLI *,A,6243,,,
CAG,449cc42f-c4b3-46fe-9d74-a5e6b9f5205d,CARLOS,A,,,,
CAG,dfc7ad74-90a9-44bd-8358-2efd209e0d4c,CIERVO,C,5462,,,
CAG,5959db3c-4fa0-4352-825d-56c30cf3e723,DEIOLA,C,1871,,,
CAG,caea7308-27d4-4d05-8a02-d2116e3eb6c0,FELICI,A,6640,,,
CAG,0413395a-4115-49a4-9445-f8c7cca99c6e,GAGLIARDINI,C,801,,,
CAG,98816cf9-d904-4761-86b3-107f8b2fd618,GRANDU,C,,,,
CAG,aaff91ac-f1d7-4ef2-9d16-b07298999209,IDRISSI,D,7125,,,
CAG,27bfd079-bda0-46db-8a61-696a51f00840,KOFLER,D,7532,,,
CAG,5448a89a-a53a-43ab-a1fd-dca08ea5819f,LITETA,C,7165,,,
CAG,d3ce25ec-2580-420c-8296-c03c68139691,MASSOLIN,C,7579,,,
CAG,10949c7b-c8c7-47c3-8116-e872955d9d32,MUTANDWA *,A,6598,,,
CAG,ef00da06-bf73-4312-ade0-4d7f47f1957f,RADUNOVIC,P,3,,,
CAG,cc4ecae8-1521-4bd0-b621-48585ec31cbc,SHERRI,P,6650,,,
CAG,231493b5-afe3-420e-ac16-89bbc2bb3bfa,TREPY,A,7317,,,
CAG,db0501b2-00f9-483b-af09-7ebc34fb9b94,ZAPPA *,D,4461,,,
COM,a43ed297-3276-4aad-b19c-b486bafb0af5,ADDAI,A,7127,,,
COM,50a5b6df-f062-4090-b051-2c6c6f44a86c,AUDERO,P,,,,
COM,5f8d9a99-f17b-4414-804d-1084c7f9d497,AZON *,A,7027,,,
COM,31facd0d-a953-4337-b02c-db78b5222611,CAQUERET,C,5036,,,
COM,2dc4ee74-efc8-44ba-96f5-125ab5f62ebd,CASSANO,C,,,,
COM,0f9002fa-e11b-45aa-b98e-52d8fa0cc34b,DE PAOLI,D,,,,
COM,0f2df2a4-4dd9-4c40-83b7-88c908bf4f47,DOSSENA,D,,,,
COM,5cd62480-4cd1-4b35-901b-3517ddfcd1e8,GOLDANIGA,D,418,,,
COM,89226dd0-6434-483f-b98f-f75d527fcdb2,KAMBWALA,D,6601,,,
COM,c0f1caa2-eee7-4f8d-a68f-742fedf4a0fc,KUHN *,A,7128,,,
COM,d40a3db1-1015-4fda-8882-80a8772da6f1,LAHDO,C,7357,,,
COM,6fa1bcd0-a966-41c0-a582-ebbb8029064f,MAZZITELLI,C,,,,
COM,633bb4c1-94b9-4e40-8e61-0aa0ca58b33f,MORATA *,A,313,,,
COM,4b12d6e2-ae10-40ff-9b37-c57cda5a56a6,VIGORITO,P,2809,,,
FIO,8ac39396-4bbd-4131-a78b-7f28290fec2e,BARAK,C,,,,
FIO,e32b9b36-9119-498d-865f-44489a7e1280,BRESCIANINI,C,4947,,,
FIO,74aad832-3225-41fb-a220-fb99ec1f82cc,CHRISTENSEN,P,6403,,,
FIO,cbe3af2e-2883-48a9-8eda-67a4308950a9,CROCI,A,,,,
FIO,f223c188-4656-4c65-8412-3a66c6eba0c6,INAO OULAI,C,,,,
FIO,147f1113-bea3-4da4-a94c-507494d0e860,KOSPO,D,,,,
FIO,457b3ff5-9765-45e0-8e0c-6e54309f9106,LEZZERINI,P,158,,,
FIO,a0b38a06-16b2-428e-a1a7-528a4e1ea7fe,MARIO,D,,,,
FIO,660cda8e-4cbb-4f0c-b1b5-2e92505e36d4,NZOLA,A,,,,
FIO,b3c5bdac-ad9c-42f1-9e3d-99bd2de8d03f,PARISI,D,5449,,,
FIO,fa9e361d-a194-4d6a-83dc-69d9a1b15591,RANIERI,D,4378,,,
FIO,7636f989-69d5-4174-97d7-74b281c5bd81,SOTTIL,C,,,,
FRO,056e62fd-020d-4e25-b89d-15765fced947,AKPOGUMA,D,7540,,,
FRO,0b38dbb0-0adf-49e6-84eb-78c498b7bda9,AMEY,D,5424,,,
FRO,1546b3a4-3fe1-4ceb-bb23-c17280502995,BARCELLA,A,,,,
FRO,ca2d10b5-d5c9-469e-bc65-18c80a99b472,CICHERO,A,,,,
FRO,f27a6d0a-6e75-4862-89ce-dbd66b902524,CITTADINI,D,5757,,,
FRO,4690647e-45d8-459d-b8d3-f6c6f33582eb,DESPLANCHES,P,7463,,,
FRO,cc1093fe-3ea7-448a-a2d7-281f55652c42,EL AZZOUZI,D,7456,,,
FRO,82a41cd2-662d-4850-80c3-ba94964a7aee,FAYED,D,,,,
FRO,668ee28e-f8a7-4312-9bc7-240fbfc77ed2,FINI,A,6506,,,
FRO,cad7c234-f2a6-4ccd-aa2f-6f24b5dc378b,GELLI,C,6241,,,
FRO,cfb39403-0658-41ed-a64c-a7be42d97a49,HASA,C,6903,,,
FRO,3f66abef-6e9e-4730-8cb4-77ca47178bed,KONE,C,,,,
